,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
62,CHEMBL355681,Nc1ncc(/C=C2\CCc3ccccc3C2=O)s1,inactive,256.33,2.937800000000001,1.0,4.0,3.6020599913279625
63,CHEMBL289766,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,316.44500000000005,3.896700000000002,1.0,3.0,5.619788758288394
64,CHEMBL1630266,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,intermediate,304.43000000000006,2.8516000000000012,2.0,3.0,5.853871964321762
65,CHEMBL2111917,CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,active,330.46800000000013,4.450000000000005,0.0,3.0,6.154901959985743
66,CHEMBL39840,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,358.526,5.019100000000004,0.0,3.0,5.0
67,CHEMBL424203,O=C1/C(=C/c2ccccn2)CCc2ccccc21,inactive,235.28599999999994,3.294100000000002,0.0,2.0,3.6020599913279625
68,CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,intermediate,288.431,3.8808000000000025,1.0,2.0,5.161150909262744
69,CHEMBL40125,CCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,246.30999999999997,1.9462,1.0,3.0,5.3979400086720375
70,CHEMBL28689,O=C1/C(=C/c2ccccc2)CCc2ccccc21,inactive,234.29799999999997,3.8991000000000025,0.0,1.0,3.6020599913279625
71,CHEMBL166974,O=C1/C(=C/c2ccsc2)CCc2ccccc21,inactive,240.32699999999997,3.960600000000003,0.0,2.0,3.6020599913279625
72,CHEMBL2311169,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43C)[C@@H]1CCC2=O,active,272.43199999999996,4.908400000000004,0.0,1.0,6.180456064458132
73,CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,302.41800000000006,3.5066000000000015,1.0,3.0,6.481486060122113
74,CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,302.41800000000006,3.5066000000000015,1.0,3.0,6.221848749616356
75,CHEMBL276140,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,inactive,353.3690000000001,4.416900000000003,1.0,3.0,4.0
76,CHEMBL297784,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,inactive,292.342,3.1679000000000004,1.0,3.0,4.0
